"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.5","Award.ProgramElement.Text.3","Award.ProgramElement.Code.6","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.ProgramElement.Code.7","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"1",1,"Contract For the Preparation of an Antarctic Map Folio Series","06/30/1967","06/30/1977",653685,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1967","08/30/1976",6300003,"Charles","Hitchock","06/30/1967","Principal Investigator","American Geographical Society","Brooklyn",112014404,7186242212,"32 Court Street","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Astrometric Research in the Southern Hemesphere","05/21/1963","01/28/1963",341900,"BOA/Task Order",3020200,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","05/21/1963","03/24/1975",6300004,"John","Sievers","05/21/1963","Principal Investigator","National Research Council","WASHINGTON",204180006,NA,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Support of the Committee on Atmospheric Sciences (C310 - T.O. 9)","05/21/1963","06/30/1979",2305250,"BOA/Task Order",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/21/1963","01/11/1979",6300005,"John","Sievers","05/21/1963","Principal Investigator","National Research Council","WASHINGTON",204180006,NA,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",1522,"PHYSICAL METEOROLOGY",2408,2575,4750,"NOAA 1081 75-73 C310-9",4773,"75/11/1081",5521,"WEATHER MODIFICATION",8670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Contract For Support of the Nas-Nrc Committee on Line Spectra of the Elements (Transferred From G17558 to C310, T.O. 15)","06/30/1967","06/30/1972",21500,"BOA/Task Order",3020101,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","06/30/1967","06/01/1972",6300006,"George","Wood","06/30/1967","Co-Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","06/30/1967","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Contract For Committee on Radio Frequency Allocations For Scientific Research (Transferred From G22659 to C310, T.O. 23)","06/30/1967","02/28/1979",456505,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1967","08/17/1979",6300007,"Richard","Dow","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,"RADIO SPECTRUM MANAGEMENT",4650,4700,4848,"MICROELECT INFO PROCESS SYS-RE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Contract For Support of Committee on Polar Research Activities (Transferred From Ga1 to C310, T.O. 36.","06/30/1967","05/31/1979",2224050,"BOA/Task Order",6090000,"Directorate For Geosciences","Division Of Polar Programs","name not available","07/01/1963","07/17/1979",6300009,"Louis","Degoes","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,"ADVISORY SVCS (U.S.ANTARCTIC)",4812,4822,5132,"OPERATIONS SUPPORT PROGRAM",5140,"INFORMAT & ADVIS SVC(ARCTIC RE",5240,"ADVISORY SVCS (ARCTIC RESEARC)",5242,NA,NA,NA,912,"Computer Science",5271,"ARCTIC OFFSHORE RES PROG",7482,"BROADENING PARTIC IN COMPUTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Contract For a Program For the Exchange of Scientists Between the National Academy of Sci, U S a and the Academy Of Sci, Ussr","06/30/1967","12/31/1978",10004793,"BOA/Task Order",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","07/01/1963","05/22/1978",6300010,"Lawrence","Mitchell","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,"COOPERATIVE SCIENCE PROGRAM",5910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Contract For International Organizations and Programs Project (Transferred From Gf42 to C310, T.O. 40)","03/15/1960","06/30/1979",4012090,"BOA/Task Order",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","10/01/1963","08/09/1979",6300011,"E.","Rowna","03/15/1960","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,"COOPERATIVE SCIENCE PROGRAM",5910,5970,5971,"SCIENTIFIC ORGS & RESOURCES PR",NA,"SCIENTIFIC ORGANIZATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Contract For Office of Documentation","06/30/1967","05/31/1967",652907,"BOA/Task Order",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/30/1967","04/01/1973",6300012,"E.","Rowna","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Contract For Committee on Nuclear Science (Transferred From Gp601 to C310, T.O. 47)","06/30/1967","03/31/1977",301790,"BOA/Task Order",3090000,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","01/01/1965","03/16/1977",6300013,"Charles","Reed","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",1273,"NUCLEAR",1278,NA,NA,"INTERMEDIATE ENERGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
