"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"1",1,"Support of Woods Hole C-54q Aircraft","03/15/1969","03/31/1970",24800,"Interagency Agreement",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","02/03/1969","02/03/1969",6900014,"May Beth","Givan","03/15/1969","Principal Investigator","Naval Weapons Center Office of Naval Research","Arlington",22217,"Attn: Code 511, Dept. Of Navy","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"1969 Churchill Skyhook Program","03/01/1969","02/28/1970",60000,"Interagency Agreement",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","02/17/1969","02/17/1969",6900015,"Richard","Trumbull","03/01/1969","Principal Investigator","Naval Weapons Center Office of Naval Research","Arlington",22217,"Attn: Code 511, Dept. Of Navy","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Operational Functions For Nsf's Special Foreign Currency SCience Information Program, Fy 1970","07/01/1969","06/30/1971",54400,"Interagency Agreement",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/16/1969","06/16/1969",6900016,"May Beth","Givan","07/01/1969","Principal Investigator","National Technical Information Service","Alexandria",223122312,"5301 Shawee Road","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Continuous Deformations of Rocks","02/01/1969","07/31/1974",118900,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/29/1969","08/01/1972",6900018,"Ernst","Cloos","02/01/1969","Co-Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD","David","Elliott","02/01/1969","Principal Investigator",4105168668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Antarctic Avian Population Studies","12/18/1968","12/31/1968",1100,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","12/18/1968","12/18/1968",6900033,"May Beth","Givan","12/18/1968","Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,4105168668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Operation of R/V Gulfstream","11/01/1968","02/29/1972",14500,"Standard Grant",6040200,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","11/12/1968","11/12/1968",6900034,"W.","Richardson","11/01/1968","Principal Investigator","Nova Southeastern University","FORT LAUDERDALE",333147796,"3301 COLLEGE AVE","United States","Florida","FL",NA,NA,NA,NA,9542625366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Geochemistry of Weathering and the Saline Cycle in Southern Victoria Land, Antarctica","06/01/1969","04/30/1975",34400,"Standard Grant",6090000,"Directorate For Geosciences","Division Of Polar Programs","name not available","06/17/1969","12/28/1978",6900092,"Lois","Jones","06/01/1969","Principal Investigator","Ohio State University Research Foundation -DO NOT USE","Columbus",432101016,"1960 KENNY RD","United States","Ohio","OH",NA,NA,NA,NA,6142923732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Investigations of Energetic Particles Radiations","07/01/1969","06/30/1970",20000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/16/1969","06/16/1969",6900100,"Martin","Pomerantz","07/01/1969","Principal Investigator","Bartol Research Institute","Newark",197160099,"University of Delaware","United States","Delaware","DE",NA,NA,NA,NA,3028312136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Studies in the Andes of the Conductivity Anomaly of the Earth's Crust and Mantle, As Measured By Magnetic Variations","11/01/1969","03/31/1977",112000,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","11/21/1969","01/11/1977",6900117,"L.","Aldrich","11/01/1969","Principal Investigator","Carnegie Institution of Washington","WASHINGTON",200051910,"1530 P ST NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023876400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Investigation of Some Statistical Aspects of Meteorological Data Archiving","05/01/1970","04/30/1977",233400,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","04/14/1970","11/24/1976",6900137,"Amos","Eddy","05/01/1970","Principal Investigator","University of Oklahoma Norman Campus","NORMAN",730199705,"201 Stephenson Parkway","United States","Oklahoma","OK",NA,NA,NA,NA,4053254757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
