"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"1",1,"Quaternary Interactions in Proteins","02/01/1974","03/31/1977",30000,"Continuing grant",8020204,"Direct For Biological Sciences","name not available","09/19/1975","09/19/1975",7400012,"Stuart","Edelstein","02/01/1974","Principal Investigator","Cornell Univ - State: AWDS MADE PRIOR MAY 2010","Ithica",148502488,6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Polar Mutants and Lac Operon Function","01/01/1974","08/31/1978",160000,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","12/28/1973","03/02/1976",7400016,"David","Zipser","01/01/1974","Principal Investigator","Cold Spring Harbor Laboratory","COLD SPRING HARBOR",117244220,5163678307,"1 BUNGTOWN ROAD","United States","New York","NY","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Evolution of the Ketoadipate Pathway in Bacteria","06/01/1974","11/30/1976",100000,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","05/24/1974","05/24/1974",7400031,"L.Nicholas","Ornston","06/01/1974","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT","Div Of Molecular and Cellular Bioscience",1112,"Genetic Mechanisms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Climatology of Dry-Valley Regions","11/15/1973","05/31/1977",50300,"Standard Grant",6090300,"Directorate For Geosciences","name not available","12/11/1973","12/10/1975",7400041,"Heinz","Lettau","11/15/1973","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI","Division Of Polar Programs",5114,"METEOROLOGY (US ANTARCTIC RES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Investigations of Cosmic Ray Intensity Variations in AntarctIca","06/01/1974","11/30/1977",150400,"Continuing grant",6090300,"Directorate For Geosciences","name not available","11/02/1973","05/21/1976",7400042,"Martin","Pomerantz","06/01/1974","Principal Investigator","Bartol Research Institute","Newark",197160099,3028312136,"University of Delaware","United States","Delaware","DE","Division Of Polar Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Fast Inorganic Reactions in Solution; Macrocyclic Ligand Complexes","05/01/1974","10/31/1977",115000,"Continuing grant",3090102,"Direct For Mathematical & Physical Scien","name not available","05/03/1974","04/16/1976",7400043,"Dale","Margerum","05/01/1974","Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Synthesis, Structure and Reaction Chemistry of Heteroboranes","12/01/1973","05/31/1977",52400,"Continuing grant",3090302,"Direct For Mathematical & Physical Scien","name not available","12/01/1973","11/11/1975",7400047,"Ralph","Rudolph","12/01/1973","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Metal Carbon Bonding in Transition Metal Pi -Complexes","06/01/1974","06/30/1978",71300,"Continuing grant",3090102,"Direct For Mathematical & Physical Scien","name not available","04/19/1974","12/01/1977",7400054,"C Peter","Lillya","06/01/1974","Principal Investigator","University of Massachusetts Amherst","Hadley",10359450,4135450698,"Research Administration Building","United States","Massachusetts","MA","Division Of Chemistry",1912,"ORGANIC CHEMICAL DYNAMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Resonance Raman Spectra and Electronic Structure","01/01/1974","12/31/1978",211600,"Continuing grant",3090106,"Direct For Mathematical & Physical Scien","name not available","12/27/1973","07/27/1977",7400055,"Thomas","Spiro","01/01/1974","Principal Investigator","Princeton University","Princeton",85442020,6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Travel to Attend: 7th Intl Conf on Photochemistry, Jerusalem,israel, 08/29-09/04/73 and to Visit Uk, Aug, 1973","01/01/1900","06/30/1900",1150,"Standard Grant",7000000,"Directorate For Engineering","name not available","07/30/1973","07/30/1973",7400058,NA,"DATA NOT AVAILABLE","01/01/1900","Principal Investigator","Travel Award","Arlington",22230,NA,NA,"United States","Virginia","VA","Directorate For Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
