"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"1","Support of the National Science and Technical Information Program Plan","10/11/1974","09/11/1977","10400","Interagency Agreement","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","10/11/1974","03/11/1976","7500012","Alan","Goldman","10/11/1974","Principal Investigator","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","Gaithersburg","208998200","3019756633","100 BUREAU DRIVE MS-8200","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Development of Remote Scanning Capability For Electronic Information Retrieval","05/01/1975","07/31/1978","181100","Standard Grant","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/30/1975","09/12/1977","7500013","Julius","Tou","05/01/1975","Principal Investigator","University of Florida","GAINESVILLE","326112002","3523923516","1 UNIVERSITY OF FLORIDA","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","The Non-Technical Papers of Leo Szilard","10/01/1974","03/31/1977","40000","Standard Grant","08080301","Direct For Biological Sciences","Div Of Biological Infrastructure","name not available","08/12/1974","11/10/1975","7500016","Gertrud","Szilard","10/01/1974","Principal Investigator","University of California-San Diego","La Jolla","920930621","8585344896","Office of Contract & Grant Admin","United States","California","CA","Herbert","York","hyork@ucsd.edu","10/01/1974","Co-Principal Investigator","1353","Hist & Philosophy of SET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A Study of Fouling and Corrosion Problems in a Solar Sea Power Plant","07/01/1975","10/31/1976","160100","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","06/27/1975","02/27/1976","7500025","John","Fetkovich","07/01/1975","Principal Investigator","Carnegie-Mellon University","PITTSBURGH","152133815","4122689527","5000 Forbes Avenue","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A Study of Electrical Energy Transmission For Ocean Thermal Power Plants (C1008)","05/01/1975","06/01/1976","107913","Contract","07000000","Directorate For Engineering","Directorate For Engineering","name not available","05/07/1975","09/18/1979","7500033","D.","Gregory","05/01/1975","Principal Investigator","Illinois Institute of Technology Gas Technology","Chicago","606163732",NA,"3300 South Federal Street","United States","Illinois","IL",NA,NA,NA,NA,NA,"5315","APPL RES-PHY,MATH&ENGIN APLICA","5557","OCEAN THERMAL 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Travel Support For U.S. Participation in the Xvi General Assembly of the International Union of Goedesy & Geophysics,Grenoble, France, August-Septebmer, 1975","01/01/1975","08/31/1974","0","Standard Grant","06000009","Directorate For Geosciences","Directorate For Geosciences","name not available","08/11/1978","08/11/1978","7500050","A. F.","Spilhaus, Jr.","01/01/1975","Principal Investigator","American Geophysical Union","Washington","200099123","2024626900","2000 FLORIDA AVE NW","United States","District of Columbia","DC",NA,NA,"fspilhaus@agu.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Optimization of Probabilistic Computational Systems","07/01/1975","06/30/1980","105000","Standard Grant","05010001","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","05/02/1975","12/21/1979","7500084","Taylor","Booth","07/01/1975","Principal Investigator","University of Connecticut","Storrs","062691133","8604863622","438 Whitney Road Ext.","United States","Connecticut","CT","John","White","white@acm.org","07/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Pathway of Ammonia Assimilation in Plant Cells","05/01/1975","10/31/1977","45000","Standard Grant","08070400","Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","05/05/1975","05/05/1975","7500088","Donald","Dougall","05/01/1975","Principal Investigator","W. Alton Jones Cell Science Center","Lake Placid","12946",NA,NA,"United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ionic Exchange Mechanisms in Fish Gills","01/01/1975","08/31/1977","56000","Standard Grant","08090300","Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","01/13/1975","06/06/1977","7500091",NA,"DATA NOT AVAILABLE","01/01/1975","Principal Investigator","University of Miami","CORAL GABLES","331462926","3052843924","1320 S. Dixie Highway Suite 650","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bubble Chamber Studies of Selected High Energy Hadronic Collisions","10/15/1974","08/31/1977","376100","Standard Grant","03010200","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","10/16/1974","09/14/1976","7500093","Robert","Panvini","10/15/1974","Principal Investigator","Vanderbilt University","Nashville","372350002","6153222631","Sponsored Programs Administratio","United States","Tennessee","TN",NA,NA,"robert.s.panvini@vanderbilt.edu",NA,NA,"1272","ELEMENTARY PARTICLE PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
