"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"1",1,"The Analysis of the Deep Ice Cores and Sub-Ice Material","12/19/1969","12/31/1972",142400,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","12/19/1969","03/16/1972",7000047,"Chester","Langway","12/19/1969","Principal Investigator","Department of Army Cold Regions Research & Engineering Lab","Hanover","037551290",6036464219,"72 Lyme Road","United States","New Hampshire","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Area Program in Population Genetics","04/01/1970","10/31/1974",656700,"Interagency Agreement",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","03/26/1970","01/03/1974",7000050,"Thomas","Roderick","04/01/1970","Principal Investigator","Department of Energy Germantown","Washington","20585",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Support of the Committee on Oceanography of the National ACademy of Sciences","01/01/1900","01/01/1900",155000,"Interagency Agreement",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","03/27/1970","02/05/1975",7000051,"Jeremy","Taylor","01/01/1900","Principal Investigator","Naval Weapons Center Office of Naval Research","Arlington","22217",NA,"Attn: Code 511, Dept. Of Navy","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Short Course in Mammalian Radiation Biology","02/11/1971","12/31/1971",15740,"Interagency Agreement",5090000,"Direct For Computer & Info Scie & Enginr","Div Of Advanced Cyberinfrastructure","Robert G. Voigt","02/11/1971","02/11/1971",7000056,"Max","Lombardi","02/11/1971","Principal Investigator","Department of Energy Oak Ridge Operations Office","Oak Ridge","378308823",NA,"Federal Building","United States","Tennessee","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Numerical Study of Barotropic Long Waves on a Rotating Ocean","01/01/1970","06/30/1977",115800,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/02/1970","12/08/1976",7000066,"Gordon","Groves","01/01/1970","Principal Investigator","University of Hawaii","HONOLULU","968222234",8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI","Edward","Stroup","01/01/1970","Co-Principal Investigator",1611,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Global Tropical Weather Systems","03/01/1970","12/31/1975",461400,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","02/19/1970","06/16/1975",7000080,NA,"DATA NOT AVAILABLE","03/01/1970","Principal Investigator","Florida State University","TALLAHASSEE","323064166",8506445260,"874 Traditions Way, 3rd Floor","United States","Florida","FL",NA,NA,NA,NA,5730,"GLOBAL ATMOSPHERIC RESEARCH",8670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"International Seismological Centre","06/01/1970","11/21/1977",242700,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","06/09/1970","05/21/1976",7000083,"E.","Arnold","06/01/1970","Principal Investigator","University of Edinburgh","Edinburgh",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Experiment in Numerical Forecasting in the Tropics","05/15/1970","05/31/1974",175900,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/08/1970","06/19/1975",7000099,"Takio","Murakami","05/15/1970","Principal Investigator","University of Hawaii","HONOLULU","968222234",8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI",NA,NA,NA,NA,5730,"GLOBAL ATMOSPHERIC RESEARCH",8670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Natural Remanent Magnetization in Pacific Red Clays","09/15/1970","09/30/1971",15800,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","09/15/1970","09/15/1970",7000109,"May Beth","Givan","09/15/1970","Principal Investigator","Franklin Institute Science Museum","Philadelphia","191031115",2154481121,"222 North 20th Street","United States","Pennsylvania","PA",NA,NA,NA,NA,1622,"SUBMARINE GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Rate and Mechanism of Exsolution and Related Processes in Minerals","09/01/1970","07/31/1976",108600,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/24/1970","02/05/1976",7000149,"Richard","Yund","09/01/1970","Principal Investigator","Brown University","Providence","029129002",4018632777,"BOX 1929","United States","Rhode Island","RI",NA,NA,NA,NA,1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
