"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.Investigator.FirstName.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.5","Award.ProgramElement.Code.9","Award.ProgramElement.Text.6","Award.ProgramElement.Code.10","Award.ProgramElement.Text.7","Award.ProgramElement.Code.11","Award.ProgramElement.Text.8","Award.ProgramElement.Code.12","Award.ProgramElement.Text.9","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"1",1,"Noaa Participation in the International Decade of Ocean ExplOration","03/15/1971","12/31/1976",3346500,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","03/16/1971","06/29/1976",7100176,"Robert","White","03/15/1971","Principal Investigator","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","Silver Spring",209103278,"1305 E West hwy 10 FL","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Shipboard Computer System Interface and Software Support","05/01/1971","10/31/1972",100000,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","05/03/1971","05/03/1971",7100184,"John","Munson","05/01/1971","Principal Investigator","Department of Navy Naval Research Laboratory","Arlington",22230,NA,"United States","Virginia","VA",7035456700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Support of the National Academy of Engineering Marine Board","01/01/1971","05/06/1977",29000,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","04/23/1971","11/06/1975",7100185,"Denzil","Pauli","01/01/1971","Principal Investigator","Naval Weapons Center Office of Naval Research","Arlington",22217,"Attn: Code 511, Dept. Of Navy","United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Geophysical Monitoring in the Antarctic","07/01/1971","09/12/1976",879600,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","05/24/1971","09/12/1975",7100186,"William","Callahan","07/01/1971","Principal Investigator","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","Silver Spring",209103278,"1305 E West hwy 10 FL","United States","Maryland","MD",NA,5114,"METEOROLOGY (US ANTARCTIC RES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Electron Microscopy Facility","01/15/1972","01/31/1976",341000,"Interagency Agreement",8020204,"Direct For Biological Sciences",NA,"name not available","01/26/1972","09/18/1974",7100196,"Myron","Ledbetter","01/15/1972","Co-Principal Investigator","Brookhaven National Laboratory","UPTON",119735000,"Building 185","United States","New York","NY",6313443428,NA,NA,"Elliott","Shaw","01/15/1972","Principal Investigator","DATA NOT AVAILABLE","01/15/1972","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Collaborative Research on Permanent Seismographic Network Around the Gulf of California, Mexico","09/15/1970","05/31/1974",27000,"Standard Grant",6030004,"Directorate for Geosciences","Division of Earth Sciences","name not available","10/12/1970","12/01/1972",7100199,"Federico","Mooser","09/15/1970","Co-Principal Investigator","Universidad Nacional Autonoma De Mexico","Mexico City",NA,NA,"Mexico",NA,NA,NA,NA,NA,"Cinna","Lomnitz","09/15/1970","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Laboratory Investigation of Atmospheric Collision Processes","10/15/1970","10/31/1976",194400,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","10/13/1970","09/27/1973",7100203,"R","Stebbings","10/15/1970","Principal Investigator","William Marsh Rice University","Houston",770051827,"6100 MAIN ST","United States","Texas","TX",7133484820,1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Large-Scale, Long-Period Air-Sea Interactions","11/01/1970","10/31/1976",72100,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","10/23/1970","02/08/1974",7100207,NA,"DATA NOT AVAILABLE","11/01/1970","Principal Investigator","Oregon State University","Corvallis",973318507,"OREGON STATE UNIVERSITY","United States","Oregon","OR",5417374933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Geophysical Investigations on a Research Vessel of Lamont- Doherty Geological Observatory","11/01/1970","05/31/1976",2304100,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","11/30/1970","04/30/1975",7100214,"Manik","Talwani","11/01/1970","Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades",10964,"Rt 9W","United States","New York","NY",9143592900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Taxonomy and Distribution of Marine Cryptoplankton Along ThePacific Coast of North America","01/01/1971","12/31/1974",89800,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/16/1970","01/01/1973",7100222,"Richard","DATA NOT AVAILABLE","01/01/1971","Co-Principal Investigator","University of Washington","Seattle",981950001,"4333 Brooklyn Ave NE","United States","Washington","WA",2065434043,1650,"BIOLOGICAL OCEANOGRAPHY",NA,"Norris","01/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Charging of Uncharged Water Drops in Electric Fields","01/01/1971","12/31/1976",164300,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/08/1970","09/23/1975",7100227,"George","Dawson","01/01/1971","Principal Investigator","University of Arizona","Tucson",857194824,"888 N Euclid Ave","United States","Arizona","AZ",5206266000,1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Studies of Growth and Reproduction of Benthic Marine Algae","03/01/1971","06/30/1977",168500,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/04/1971","02/19/1976",7100233,"Alexander","Charters","03/01/1971","Co-Principal Investigator","University of California-Santa Barbara","Santa Barbara",931062050,"Office of Research","United States","California","CA",8058934188,1650,"BIOLOGICAL OCEANOGRAPHY","Michael","Neushul","03/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Distribution and Biology of Planktonic Copepods of the Gulf Of Mexico","02/01/1971","02/25/1977",146300,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/04/1971","06/16/1975",7100234,"E. Taisoo","Park","02/01/1971","Principal Investigator","Texas A&M University Marine Laboratory","Galveston",77550,NA,"United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Ore-Forming Minerals and Ore-Forming Processes","01/15/1971","09/30/1977",166200,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","12/31/1970","06/22/1977",7100237,"Brian","Skinner","01/15/1971","Principal Investigator","Yale University","New Haven",65208327,"Office of Sponsored Projects","United States","Connecticut","CT",2037854689,1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Potassium - Argon Dating of Oceanic Rocks","01/15/1971","01/31/1977",115100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/08/1971","01/01/1973",7100240,"David","Thurber","01/15/1971","Co-Principal Investigator","Oregon State University","Corvallis",973318507,"OREGON STATE UNIVERSITY","United States","Oregon","OR",5417374933,NA,NA,"Jack","Dymond","01/15/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Scientific Research and Training Programs on the R/V Eastward","03/01/1971","12/31/1976",480334,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/29/1971","09/18/1973",7100254,"Richard","Barber","03/01/1971","Principal Investigator","Duke University","Durham",277054010,"2200 W. Main St, Suite 710","United States","North Carolina","NC",9196843030,1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Numerical Model Studies of the Planetary Boundary Layers of The Atmosphere and Oceans","04/15/1971","09/30/1976",375296,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","03/25/1971","04/30/1976",7100265,"Joseph","Pandolfo","04/15/1971","Principal Investigator","Center For the Environment and Man Inc","Hartford",6103,NA,"United States","Connecticut","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Mesoscale Wind Field Over the Upwelling Area Off the Oregon Coast","03/01/1971","01/31/1977",277200,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","02/19/1971","02/04/1975",7100271,"Wayne","Burt","03/01/1971","Principal Investigator","Oregon State University","Corvallis",973318507,"OREGON STATE UNIVERSITY","United States","Oregon","OR",5417374933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Curatorial Assistance For Marine Sediment Library","06/01/1971","02/28/1977",94000,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","03/25/1971","08/22/1975",7100301,"Hsin Yi","Ling","06/01/1971","Co-Principal Investigator","University of Washington","Seattle",981950001,"4333 Brooklyn Ave NE","United States","Washington","WA",2065434043,1621,"SUBMARINE GEOLOGY","Joe","Creager","06/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Micro-Zooplankters in the Marine Food Chain","06/01/1971","02/28/1977",110600,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","03/19/1971","09/03/1976",7100306,"John","Beers","06/01/1971","Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,"8602 La Jolla Shores Dr","United States","California","CA",8585341293,1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"A Study of the Factors Controlling the Formation of Large Numbers of Condensation Nuclei in Clean Global Air","05/01/1971","12/31/1975",78300,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","04/05/1971","10/03/1975",7100321,"Vincent","Schaefer","05/01/1971","Principal Investigator","SUNY at Albany","Albany",122220100,"1400 WASHINGTON AVE","United States","New York","NY",5184374550,1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Dynamics of Large-Scale Atmospheric and Oceanic Processes","05/01/1971","01/31/1977",409200,"Continuing grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","04/09/1971","11/20/1975",7100333,"Jule","Charney","05/01/1971","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",6172531000,5730,"GLOBAL ATMOSPHERIC RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Mechanics and History of the Denali Fault, Alaska","05/01/1971","08/31/1977",98500,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","04/13/1971","09/15/1976",7100352,NA,"DATA NOT AVAILABLE","05/01/1971","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,"21 North Park Street","United States","Wisconsin","WI",6082623822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Geomagnetic Variation of the Cosmic Ray Neutron Albedo Flux","05/15/1971","10/31/1976",660900,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","04/19/1971","04/24/1975",7100355,"Glenn","Frye","05/15/1971","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,"Nord Hall, Suite 615","United States","Ohio","OH",2163684510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Climatic Changes Through Urbanization","07/01/1971","03/31/1976",44700,"Continuing grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/26/1971","01/13/1976",7100377,NA,"DATA NOT AVAILABLE","07/01/1971","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",3014056269,1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Support of a Symposium- 'the Underground EnvironmenT'","05/15/1971","05/31/1972",2000,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","05/06/1971","05/06/1971",7100386,"Gordon","Sargent","05/15/1971","Principal Investigator","Geological Society of America Today","Boulder",803011806,"3300 PENROSE PL","United States","Colorado","CO",3033571000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Metamorphic Segregation Processes","05/15/1971","02/28/1977",45800,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","05/07/1971","09/01/1972",7100408,"George","Fisher","05/15/1971","Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD",4105168668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Geographic Atlas of Pesticide Occurrence in the Barataria Bay-Mississippi Delta 'estuarian Area'","06/01/1971","05/31/1972",52800,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","05/28/1971","05/28/1971",7100411,NA,"DATA NOT AVAILABLE","06/01/1971","Principal Investigator","Gulf South Research Institute","Baton Rouge",70801,NA,"United States","Louisiana","LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Petrologic Studies of Ultramafic Rocks","06/01/1971","05/31/1977",92800,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","05/18/1971","08/16/1973",7100416,"Bernard","Evans","06/01/1971","Principal Investigator","University of Washington","Seattle",981950001,"4333 Brooklyn Ave NE","United States","Washington","WA",2065434043,1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
