"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"1",1,"Targets of Opportunity For Technology Innovations in the PubLic Sector","10/01/1973","07/06/1975",145405,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/16/1973","04/19/1979",7300121,"Charles","Williams","10/01/1973","Principal Investigator","SRI International","Menlo Park",940253493,6508592651,"333 RAVENSWOOD AVE","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Medical Instrumentation Experiment in Ultrasonic Imagery (Ca110)","11/23/1973","11/23/1978",3000000,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","11/23/1973","08/27/1975",7300149,"James","Smith","11/23/1973","Principal Investigator","Veterans Administration","Washington",20420,NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Computer-Assisted Biofeedback Techniques Utilized in the Development of Reading Skills","01/21/1974","04/30/1975",0,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","11/22/1974","11/22/1974",7300156,"John","Stern","01/21/1974","Principal Investigator","Washington University","Saint Louis",631304862,3147474134,"CAMPUS BOX 1054","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Evaluation of the Lincoln Training System As a Means For Supporting the Professional Development of Graduate Engineers","05/23/1974","07/31/1976",0,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","03/22/1976","03/22/1976",7300163,"Frederick","Frick","05/23/1974","Principal Investigator","Lincoln Laboratory","Lexington",2139,NA,NA,"United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Bayesian Statistics and Interactive Computing Systems","07/01/1975","03/31/1977",91355,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","05/23/1975","12/02/1976",7300164,"Melvin","Novick","07/01/1975","Principal Investigator","University of Iowa","IOWA CITY",522421320,3193352123,"2 GILMORE HALL","United States","Iowa","IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Quaternary Tectonics and Sea-Level Fluctuations, Southwest Pacific","09/01/1973","12/31/1977",68200,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/23/1973","06/08/1977",7300175,"Arthur","Bloom","09/01/1973","Principal Investigator","Cornell University","Ithaca",148502820,6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Lower Paleozoic Palynology, Palynostratigraphy and PaleomAgnetism of the East-Central Portion of the North AmericaN Continent","09/15/1973","02/29/1976",30000,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/01/1973","01/20/1975",7300178,"Fritz","Diez-Cramer","09/15/1973","Principal Investigator","Florida State University","TALLAHASSEE",323064166,8506445260,"874 Traditions Way, 3rd Floor","United States","Florida","FL",1542,"GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Scale Interactions Between Tropics and Mid-Latitudes and Between Hemispheres","09/01/1973","08/31/1977",90800,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/11/1973","03/09/1977",7300188,"Shih-Kung","Kao","09/01/1973","Principal Investigator","University of Utah","SALT LAKE CITY",841128930,8015816903,"75 S 2000 E","United States","Utah","UT",NA,NA,"Julia","Nogues-Paegle","09/01/1973","Co-Principal Investigator","Jan","Paegle","09/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Origin of Plutonic Igneous Rock Series","09/01/1973","02/28/1977",77400,"Continuing grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/23/1973","08/27/1975",7300191,"Peter","Wyllie","09/01/1973","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Origin of Bedded Chert- Italy & Southern Alps","11/06/1973","11/30/1975",48400,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","11/06/1973","11/06/1973",7300192,"Robert","Folk","11/06/1973","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Isotopic Studies of the White Mountain Series and Related RoCks","10/15/1973","09/30/1977",76000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/19/1973","03/09/1977",7300195,"Kenneth","Foland","10/15/1973","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"San Andreas Fault Zone in Northwestern Mexico","09/01/1973","02/28/1977",30000,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/18/1973","11/13/1975",7300196,"Richard","Merriam","09/01/1973","Principal Investigator","University of Southern California","Los Angeles",900890001,2137407762,"University Park","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Hawaiian Volcanic Gases and Volatiles","08/01/1973","12/31/1976",37000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/26/1973","10/19/1976",7300201,"John","Naughton","08/01/1973","Principal Investigator","University of Hawaii","HONOLULU",968222234,8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Geology, Geochemistry, and Geochronology of Tertiary VOlcanic Rocks of Western Mexico","10/15/1973","03/31/1979",107100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/23/1973","07/25/1978",7300204,"Stephen","Clabaugh","10/15/1973","Co-Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,"Fred","McDowell","10/15/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Mechanisms of Clay Mineral Catalysis in Petroleum-Forming Organic Reactions","10/01/1973","03/31/1979",62300,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/28/1973","01/25/1978",7300206,"William","Johns","10/01/1973","Principal Investigator","University of Missouri-Columbia","COLUMBIA",652110001,5738827560,"115 Business Loop 70 W","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Research on Composition and Origin of Tektites","11/01/1973","10/31/1974",25000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/24/1973","10/24/1973",7300207,"Virgil","Barnes","11/01/1973","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,"Robert","Houze","11/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Further Heat Flow Measurements in the Alps","09/15/1973","02/28/1977",31600,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/27/1973","01/23/1976",7300208,"Sydney","Clark","09/15/1973","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",1543,"GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Development and Use of a Method to Deploy Multipleshaped-ChaRge Barium Releases","06/01/1974","11/30/1975",0,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/05/1975","12/05/1975",7300211,"Richard","Miller","06/01/1974","Co-Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK",NA,NA,"Wallace","Murcray","06/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Structure of Equatorial Currents During Garp Atlantic TropicAl Experiment (Gate)","08/01/1973","07/31/1979",397300,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/20/1973","09/18/1978",7300214,"Walter","Duing","08/01/1973","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE",331491031,3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Turbulence Characteristics in the Stratosphere","09/01/1973","02/28/1977",104200,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/13/1973","10/09/1975",7300215,"Hans","Panofsky","09/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
